1girl,0,6421189,"[인물 → 인원수 및 관계] 여성 1명: 이미지에 여성 캐릭터가 한 명 등장하는 경우에 사용되는 태그입니다. 살아있고 눈에 보이는 캐릭터만 해당되며, 인형, 피규어, 그림, 포스터 등 무생물이나 화면에 보이지 않는 캐릭터는 포함되지 않습니다. 여성 캐릭터 외에 남성 캐릭터가 함께 있어도 이 태그를 사용할 수 있습니다. 이미지가 단 한 명의 캐릭터로만 구성된 경우에는 solo 태그를 사용합니다. / 키워드: 여자, 한명, 솔로"
highres,0,5763262,"[이미지 정보 → 품질 및 해상도] 고해상도: 고해상도 이미지에 사용되는 태그입니다. 너비가 1600픽셀 이상이거나 높이가 1200픽셀 이상인 이미지에 해당하며, 약 190만 픽셀(1.9 메가픽셀) 이상의 이미지에 자동으로 부여됩니다. / 키워드: 고화질, 고해상도, HD"
solo,0,5341029,"[인물 → 인원수 및 관계] 솔로: 이미지에 단 한 명의 인물만 등장하는 경우에 사용되는 태그입니다. 다른 인물이 전혀 보여서는 안 됩니다. 캐릭터의 분신이나 복제본이 있는 경우에도 solo 태그를 사용하지 않습니다. 여러 인물이 있지만 한 명에게만 초점이 맞춰진 경우는 solo_focus 태그를 사용합니다. / 키워드: 1인, 혼자, 단독"
long_hair,0,4677240,"[패션 → 헤어] 장발: 머리카락 길이가 어깨를 넘어 허리까지 닿는 스타일에 사용되는 태그입니다. 어깨 길이의 머리는 medium_hair 태그를 사용합니다. 허리를 넘는 매우 긴 머리는 very_long_hair, 키보다 긴 머리는 absurdly_long_hair 태그를 사용합니다. / 키워드: 긴 머리, 장발, 롱헤어"
breasts,0,3696374,"[인물 → 신체 부위] 가슴: 여성 캐릭터의 가슴이 눈에 띄게 강조되거나 묘사된 이미지에 사용되는 태그입니다. 가슴이 거의 없는(flat-chested) 캐릭터에게는 사용하지 않습니다. / 키워드: 가슴, 유방, 흉부"
looking_at_viewer,0,3591177,"[아트 및 연출 → 포커스] 시선: 정면: 캐릭터가 화면 너머의 감상자와 직접 눈을 맞추고 있는 이미지에 사용되는 태그입니다. 캐릭터들끼리 시선을 맞추는 경우는 eye_contact 태그를, 눈을 감고 있거나 가리고 있지만 정면을 향하는 경우는 facing_viewer 태그를 사용합니다. / 키워드: 정면, 아이컨택, 카메라 시선"
blush,0,3145333,"[인물 → 상태 및 감정] 홍조: 뺨이 붉게 물든 상태를 나타내는 태그입니다. 당황, 죄책감, 부끄러움, 겸손, 흥분 등 다양한 감정을 표현할 때 사용됩니다. 얼굴이 아닌 몸의 다른 부위가 붉어진 경우는 body_blush 태그를 사용합니다. / 키워드: 얼굴 붉힘, 부끄러움, 홍조"
smile,0,3103697,"[인물 → 상태 및 감정] 미소: 기쁨, 즐거움, 행복 등을 나타내는 표정으로, 보통 입꼬리가 올라간 상태(🙂)에 사용되는 태그입니다. 입을 크게 벌리고 이가 보이는 경우는 grin(활짝 웃음) 태그를 사용할 수 있습니다. / 키워드: 미소, 웃음, 스마일"
open_mouth,0,2563148,"[인물 → 신체 부위] 벌린 입: 입을 벌리고 있는 상태를 나타내는 태그입니다. 입 안이 보일 정도로 충분히 벌렸을 때 사용합니다. 입을 살짝만 벌린 경우는 parted_lips 태그를 사용하며, 반대되는 태그는 closed_mouth(닫은 입)입니다. / 키워드: 벌린 입, 입, 표정"
short_hair,0,2413535,"[패션 → 헤어] 단발: 머리카락 길이가 목에 닿지만 어깨에는 닿지 않는 스타일에 사용되는 태그입니다. 보브컷, 바가지 머리, 언더컷 등이 이 길이에 해당합니다. 귀 길이보다 짧은 머리는 very_short_hair 태그를 사용합니다. / 키워드: 짧은 머리, 단발, 숏컷"
